Time,Humidity,Temperature
0:02:59 ,67.64,62.00
0:03:02 ,67.64,62.00
0:03:05 ,67.64,62.00
0:03:08 ,67.64,62.00
0:03:11 ,67.64,62.00
0:03:14 ,67.64,62.00
0:03:17 ,67.64,62.00
0:03:20 ,67.64,62.00
0:03:23 ,67.64,62.00
0:03:26 ,67.64,62.00
0:03:29 ,67.64,62.00
0:03:32 ,67.64,62.00
0:03:35 ,67.64,62.00
0:03:39 ,67.64,64.00
0:03:42 ,67.64,65.00
0:03:45 ,67.64,64.00
0:03:48 ,67.64,64.00
0:03:51 ,67.64,64.00
0:03:54 ,67.64,64.00
0:03:57 ,67.64,64.00
0:04:00 ,67.64,64.00
0:04:03 ,67.64,64.00
0:04:06 ,67.64,64.00
0:04:09 ,67.64,64.00
0:04:12 ,67.64,63.00
0:04:15 ,67.64,63.00
0:04:18 ,67.64,63.00
0:04:21 ,67.64,63.00
0:04:25 ,67.64,63.00
0:04:28 ,67.64,63.00
0:04:31 ,67.64,63.00
0:04:34 ,67.64,63.00
0:04:37 ,67.64,63.00
